Array Probe	Category Component
IDI1_12170	3422
IFI27_28214	3429
SP110_17499	3431
IFIT2_3222	3433
IFIT1_3219	3434
IFIT3_3225	3437
IFNA1_28390	3439
IFNA1_28390	3447
IFNAR1_3235	3454
IFNB1_21758	3456
IFNG_3239	3458
IFNGR1_20346	3459
IGF1_25126	3479
IGF1_28421	3479
IGF1R_3254	3480
IGF2R_3263	3482
IGFBP1_10877	3484
IGFBP1_3266	3484
IGFBP3_3270	3486
IGFBP4_3271	3487
IGFBP6_26498	3489
IGFBP7_26667	3490
CYR61_24505	3491
IGHG2_28164	3501
IGHG3_28165	3502
IGHMBP2_3275	3508
IGKC_3281	3514
IGLL5_26283	3543
IKBKB_3289	3551
IL1A_22714	3552
IL1B_3325	3553
IL1R1_21162	3554
IL2RB_24111	3560
IL2RG_15624	3561
IL4_14330	3565
IL4R_3339	3566
IL6_3341	3569
IL7R_3347	3575
IL8_14324	3576
IL10_25731	3586
IL10_28432	3586
IL10RA_24492	3587
IL11_28827	3589
IL12RB1_28419	3594
IL13_14468	3596
IL13RA1_3309	3597
IL18_22992	3606
ILF2_3354	3608
ILK_28806	3611
ILK_3355	3611
IDO1_3210	3620
INHA_21252	3623
INHBA_21251	3624
INPP1_29011	3628
INPP1_3376	3628
INS_3382	3630
INSIG1_3385	3638
INSL3_28358	3640
EIF3E_2094	3646
EIF3E_28626	3646
IRF7_3410	3665
IRS1_20491	3667
ISG20_11135	3669
ITGA1_27365	3672
ITGAE_3432	3682
ITGAL_27366	3683
ITGB2_27367	3689
ITGB5_3450	3693
ITK_11559	3702
ITK_28236	3702
ITPR1_20884	3708
ITPR2_3454	3709
JAK1_3463	3716
JAK2_3466	3717
JUN_3475	3725
JUNB_11226	3726
KARS_21742	3735
KCNF1_3502	3754
KCNG1_18417	3755
KCNK1_3516	3775
KCNQ2_3525	3785
KCNQ3_3528	3786
KDR_3546	3791
KIF5C_3612	3800
KIT_3617	3815
KLK2_13727	3817
KLK2_28260	3817
KLK2_3651	3817
KLRC1_28394	3821
KLRC2_12242	3822
KIF11_3588	3832
IPO5_3401	3843
KRT4_19414	3851
KRT4_3695	3851
KRT5_3696	3852
KRT6A_13729	3853
KRT7_10561	3855
KRT7_3703	3855
KRT14_28848	3861
KRT15_19413	3866
KRT17_3687	3872
KRT18_19582	3875
KRT19_10816	3880
KRT19_3690	3880
KRT81_13695	3887
KTN1_3708	3895
L1CAM_12063	3897
L1CAM_3714	3897
LAMA2_28249	3908
LAMA3_3717	3909
LAMB3_3722	3914
LAMP1_3730	3916
LAMC2_29024	3918
LAMC2_3727	3918
RPSA_6025	3921
STMN1_6857	3925
LBR_3754	3930
LCK_21336	3932
LCN2_21000	3934
LCP1_3761	3936
LDHA_3766	3939
LDLR_19353	3949
LGALS8_3781	3964
LHB_28221	3972
LHCGR_15074	3973
LIG1_3795	3978
LIPA_3812	3988
LMNB1_27441	4001
LOXL1_3850	4016
LRPAP1_3876	4043
LSS_14888	4047
CYP4F3_1739	4051
LTF_26042	4057
LUM_17157	4060
LYN_3912	4067
SH2D1A_20738	4068
LYZ_23572	4069
MARCKS_10769	4082
MARCKS_4021	4082
MAD2L1_3930	4085
SMAD1_6558	4086
SMAD3_27880	4088
SMAD3_6562	4088
SMAD4_6563	4089
SMAD5_6566	4090
MAGEA2_10525	4101
MAGEA3_13536	4102
MAGEA6_13535	4102
MAGEA3_13536	4105
MAGEA6_13535	4105
MAGEA12_28277	4111
MAN2B1_3947	4125
MAOA_23149	4128
MAOB_13383	4129
MAP2_26319	4133
MAPT_11555	4137
MAT2A_4039	4144
MBL2_16596	4153
MBNL1_4056	4154
MCL1_20177	4170
MCM2_12650	4171
MCM3_4072	4172
MCM4_4075	4173
MCM7_4079	4176
DNAJB9_18970	4189
MDH1_4087	4190
MDH2_20964	4191
MDM2_23384	4193
MDM2_27496	4193
MDM2_27497	4193
ME1_16747	4199
ME2_4100	4200
MEF2C_4112	4208
MEFV_4116	4210
MAP3K4_3982	4216
MEST_4122	4232
MET_25913	4233
MET_4125	4233
SCGB2A1_28268	4246
SCGB2A2_28354	4250
MIF_4173	4282
CXCL9_21587	4283
MKI67_28355	4288
FOXO4_2484	4303
MMP1_4206	4312
MMP2_27519	4313
MMP2_4213	4313
MMP3_26059	4314
MMP3_4216	4314
MMP8_27521	4317
MMP9_15866	4318
MNAT1_4225	4331
MNDA_22104	4332
MPI_20807	4351
MPO_24073	4353
MRE11A_25911	4361
MRE11A_4256	4361
ABCC1_15868	4363
MSH2_19521	4436
MSRA_4319	4482
MT1E_4328	4493
MT1F_24226	4494
MT1G_26225	4495
MT1H_4330	4496
MT1M_28215	4499
MT1X_4333	4501
MT2A_4334	4502
MT3_20763	4504
MTHFD1_4346	4522
ND6_4508	4541
MTNR1A_13132	4543
MTNR1B_15721	4544
MTR_21332	4548
MUC1_4366	4582
MUC2_28367	4583
MUC3A_13976	4584
MX1_4382	4599
MYB_13607	4602
MYB_27540	4602
MYBL1_22509	4603
MYBL2_4391	4605
MYC_4394	4609
GADD45B_2570	4616
GADD45B_28755	4616
MYH11_22129	4629
MYL1_28425	4632
MYL4_17683	4635
MYL4_27544	4635
MYLK_4414	4638
MYO10_27545	4651
NAIP_20391	4671
NCF2_12973	4688
NCF4_13488	4689
NCK1_4491	4690
NDUFA1_4514	4694
NDUFA4_14125	4697
NDUFB3_18124	4709
NDUFV2_4530	4729
NDUFV3_18809	4731
NDUFV3_27573	4731
NEFH_18808	4744
NEK2_20563	4751
NEUROD1_21767	4760
NFATC3_4560	4775
NFATC4_4563	4776
NFE2L2_4564	4780
NFIL3_4565	4783
NFKB1_4566	4790
NFKB2_4567	4791
NFKBIA_4568	4792
NFKBIB_4570	4793
NFKBIE_4571	4794
NFYB_16601	4801
NIT1_4598	4817
NKG7_23420	4818
NME1_27589	4830
NME2_28197	4831
NMT1_4614	4836
NNMT_16600	4837
NOS1_19006	4842
NOS2_22429	4843
NOS3_28337	4846
NOS3_4638	4846
CNOT4_1427	4850
NOTCH1_4642	4851
NOTCH2_18421	4853
NOTCH3_20764	4854
PNP_5231	4860
NPC1_4646	4864
SLC11A2_6335	4891
NRAS_4703	4893
NRCAM_13710	4897
NT5E_4738	4907
NTRK1_16966	4914
DDR2_13092	4921
NUCB2_4744	4925
NUP88_4782	4927
NR4A2_28266	4929
NVL_28383	4931
OAS1_25326	4938
OAS1_27617	4938
OAZ1_19069	4946
OLR1_13618	4973
OPHN1_28310	4983
OPHN1_4811	4983
ORC1_4828	4998
ORC4_28406	5000
ORM1_4833	5004
ORM2_4836	5005
OXA1L_4873	5018
OXCT1_4876	5019
P4HB_4890	5034
PEBP1_17926	5037
FURIN_27246	5045
PAFAH1B1_4903	5048
PAFAH1B3_28382	5050
PAFAH1B3_4904	5050
PRDX1_5393	5052
SERPINE1_6253	5054
PAK1_4912	5058
PAX6_4946	5080
PCBD1_28259	5092
PCBD1_4953	5092
PCCB_4958	5096
PCDH8_11671	5100
PCM1_4980	5108
PCMT1_4984	5110
PCNA_4987	5111
PCOLCE_12241	5118
PDE4C_21948	5143
PDE4C_27660	5143
PDE6G_5018	5148
PDGFA_27664	5154
PDGFB_20737	5155
PDHB_13121	5162
PECAM1_14079	5175
PEG3_14757	5178
PF4_13958	5196
PFAS_5077	5198
PFKL_5083	5211
PFKP_20061	5214
PFN1_5086	5216
PGA3_13453	5222
PGA5_26280	5222
PGAM1_5090	5223
PGK1_5094	5230
PGM1_5095	5236
PGM3_5099	5238
PGR_24005	5241
PGR_28384	5241
PGR_5102	5241
ABCB1_12	5243
PHKA1_28258	5255
PHKB_5119	5257
PHKG2_5120	5261
SERPINE2_11933	5270
SERPINE2_27841	5270
SERPINE2_27842	5270
PIGF_27685	5281
PIK3C2A_5139	5286
PIK3C2B_5140	5287
PIK3C3_5143	5289
PIK3CA_5146	5290
PIK3R1_15690	5295
PI4KA_5128	5297
PIN1_5152	5300
PITPNA_18835	5306
PLA2G2A_13291	5320
PLA2G4A_5172	5321
PLAGL1_14406	5325
PLAU_5178	5328
PLCB3_5183	5331
PLGLB2_19207	5342
PLGLB2_5196	5342
PLGLB2_19207	5343
PLGLB2_5196	5343
PLIN1_5199	5346
PLK1_5203	5347
PLN_28352	5350
PLP2_5208	5355
PLRG1_24969	5356
PLS1_5211	5357
PLSCR1_5214	5359
PMAIP1_5221	5366
PMM2_5224	5373
SEPT5_6225	5413
PODXL_16080	5420
POLB_28436	5423
POLB_5242	5423
POLE2_27697	5427
POLR2E_5259	5434
POLR2H_13796	5437
POLR2H_27699	5437
POLR2I_5260	5438
POLR2K_5263	5440
POMC_28971	5443
POR_23019	5447
POU5F1_5291	5460
PPA1_14828	5464
PPARA_17989	5465
PPARD_5301	5467
PPARD_5302	5467
PPARG_28287	5468
MED1_4106	5469
PPBP_24138	5473
PPIA_27705	5478
PPIA_5317	5478
PPIC_5321	5480
PPM1B_13805	5495
PPM1B_27708	5495
PPOX_5336	5498
PPP1CB_18519	5500
PPP1CC_19813	5501
PPP2CA_5356	5515
PPP2R1A_18156	5518
PPP2R5A_5364	5525
PPP2R5E_5368	5529
PRCP_5384	5547
SRGN_24666	5552
PRKAA1_11642	5562
PRKAB1_14557	5564
PRKAB2_24437	5565
PRKACA_5404	5566
PRKACB_5409	5567
PKIB_11293	5570
PRKAG1_5413	5571
PRKAR1A_27726	5573
PRKAR1A_27727	5573
PRKAR1A_27728	5573
PRKCA_5422	5578
PRKCD_5426	5580
PRKCH_5429	5583
PRKCQ_5430	5588
PRKDC_22715	5591
PRKG1_14530	5592
MAPK1_3989	5594
MAPK1_3990	5594
MAPK3_28956	5595
MAPK3_4002	5595
MAPK9_4009	5601
MAPK13_3996	5603
MAP2K5_3975	5607
PRKX_5435	5613
PRL_18926	5617
PROS1_5451	5627
LGMN_3782	5641
PRSS2_28224	5645
PRSS3_28318	5646
PRSS8_18105	5652
HTRA1_3172	5654
PRTN3_24460	5657
PSAP_5489	5660
PSEN1_5495	5663
PSEN2_23493	5664
PSMA1_16796	5682
PSMA4_10918	5685
PSMA7_5506	5688
PSMB3_5511	5691
PSMB6_12772	5694
PSMB8_5515	5696
PSMB9_23343	5698
PSMB10_5508	5699
